5.000000e-02	1.896105e+04	5.701353e+03
5.238079e-02	1.979382e+04	5.743392e+03
5.487494e-02	2.066723e+04	5.786444e+03
5.748785e-02	2.158306e+04	5.830663e+03
6.022518e-02	2.254322e+04	5.876233e+03
6.309284e-02	2.354964e+04	5.923301e+03
6.609706e-02	2.460439e+04	5.972030e+03
6.924432e-02	2.570961e+04	6.022584e+03
7.254144e-02	2.686750e+04	6.075076e+03
7.599555e-02	2.808042e+04	6.129677e+03
7.961414e-02	2.935081e+04	6.186520e+03
8.340503e-02	3.068122e+04	6.245729e+03
8.737642e-02	3.207434e+04	6.307440e+03
9.153691e-02	3.353295e+04	6.371765e+03
9.589551e-02	3.506001e+04	6.438824e+03
1.004617e-01	3.665857e+04	6.508724e+03
1.052452e-01	3.833187e+04	6.581576e+03
1.102565e-01	4.008328e+04	6.657478e+03
1.155065e-01	4.191634e+04	6.736534e+03
1.210064e-01	4.383476e+04	6.818835e+03
1.267682e-01	4.584241e+04	6.904470e+03
1.328044e-01	4.794337e+04	6.993524e+03
1.391280e-01	5.014190e+04	7.086076e+03
1.457527e-01	5.244247e+04	7.182207e+03
1.526928e-01	5.484975e+04	7.281975e+03
1.599634e-01	5.736866e+04	7.385445e+03
1.675801e-01	6.000435e+04	7.492674e+03
1.755596e-01	6.276220e+04	7.603700e+03
1.839190e-01	6.564786e+04	7.718562e+03
1.926764e-01	6.866725e+04	7.837280e+03
2.018509e-01	7.182661e+04	7.959876e+03
2.114621e-01	7.513246e+04	8.086361e+03
2.215311e-01	7.859165e+04	8.216737e+03
2.320794e-01	8.221137e+04	8.350999e+03
2.431301e-01	8.599914e+04	8.489132e+03
2.547069e-01	8.996289e+04	8.631135e+03
2.668350e-01	9.411092e+04	8.776991e+03
2.795405e-01	9.845194e+04	8.926691e+03
2.928510e-01	1.029951e+05	9.080224e+03
3.067954e-01	1.077499e+05	9.237600e+03
3.214037e-01	1.127265e+05	9.398822e+03
3.367075e-01	1.179353e+05	9.563910e+03
3.527401e-01	1.233875e+05	9.732892e+03
3.695361e-01	1.290946e+05	9.905812e+03
3.871318e-01	1.350686e+05	1.008272e+04
4.055654e-01	1.413223e+05	1.026368e+04
4.248767e-01	1.478690e+05	1.044878e+04
4.451075e-01	1.547225e+05	1.063810e+04
4.663017e-01	1.618975e+05	1.083175e+04
4.885050e-01	1.694091e+05	1.102982e+04
5.117655e-01	1.772734e+05	1.123245e+04
5.361336e-01	1.855071e+05	1.143974e+04
5.616620e-01	1.941276e+05	1.165184e+04
5.884060e-01	2.031534e+05	1.186887e+04
6.164234e-01	2.126035e+05	1.209095e+04
6.457748e-01	2.224980e+05	1.231825e+04
6.765239e-01	2.328582e+05	1.255090e+04
7.087371e-01	2.437058e+05	1.278901e+04
7.424841e-01	2.550641e+05	1.303276e+04
7.778381e-01	2.669573e+05	1.328228e+04
8.148754e-01	2.794106e+05	1.353769e+04
8.536763e-01	2.924506e+05	1.379915e+04
8.943248e-01	3.061051e+05	1.406681e+04
9.369087e-01	3.204032e+05	1.434080e+04
9.815203e-01	3.353753e+05	1.462128e+04
1.028256e+00	3.510535e+05	1.490840e+04
1.077217e+00	3.674712e+05	1.520232e+04
1.128510e+00	3.846634e+05	1.550318e+04
1.182245e+00	4.026669e+05	1.581117e+04
1.238538e+00	4.215200e+05	1.612643e+04
1.297512e+00	4.412632e+05	1.644915e+04
1.359294e+00	4.619385e+05	1.677949e+04
1.424018e+00	4.835903e+05	1.711763e+04
1.491824e+00	5.062648e+05	1.746376e+04
1.562858e+00	5.300105e+05	1.781807e+04
1.637275e+00	5.548782e+05	1.818074e+04
1.715235e+00	5.809213e+05	1.855197e+04
1.796907e+00	6.081953e+05	1.893196e+04
1.882468e+00	6.367587e+05	1.932092e+04
1.972103e+00	6.666729e+05	1.971909e+04
2.066006e+00	6.980017e+05	2.012666e+04
2.164381e+00	7.308124e+05	2.054382e+04
2.267439e+00	7.651752e+05	2.097085e+04
2.375405e+00	8.011639e+05	2.140794e+04
2.488512e+00	8.388556e+05	2.185537e+04
2.607004e+00	8.783313e+05	2.231334e+04
2.731139e+00	9.196754e+05	2.278215e+04
2.861184e+00	9.629769e+05	2.326200e+04
2.997421e+00	1.008329e+06	2.375317e+04
3.140146e+00	1.055828e+06	2.425592e+04
3.289666e+00	1.105577e+06	2.477059e+04
3.446306e+00	1.157682e+06	2.529733e+04
3.610405e+00	1.212255e+06	2.583661e+04
3.782317e+00	1.269414e+06	2.638850e+04
3.962414e+00	1.329281e+06	2.695351e+04
4.151088e+00	1.391985e+06	2.753177e+04
4.348745e+00	1.457661e+06	2.812370e+04
4.555814e+00	1.526450e+06	2.872958e+04
4.772742e+00	1.598499e+06	2.934978e+04
5.000000e+00	1.673965e+06	2.998463e+04
