tabk(0)=18992.050783+(5758.734972i);    // Vec_kaLpi=0.050000
tabk(1)=19825.443907+(5801.867346i);    // Vec_kaLpi=0.052381
tabk(2)=20699.543099+(5846.060386i);    // Vec_kaLpi=0.054875
tabk(3)=21616.163685+(5891.494481i);    // Vec_kaLpi=0.057488
tabk(4)=22577.193602+(5938.342222i);    // Vec_kaLpi=0.060225
tabk(5)=23584.602651+(5986.774565i);    // Vec_kaLpi=0.063093
tabk(6)=24640.445187+(6036.956669i);    // Vec_kaLpi=0.066097
tabk(7)=25746.872014+(6089.058862i);    // Vec_kaLpi=0.069244
tabk(8)=26906.126490+(6143.238539i);    // Vec_kaLpi=0.072541
tabk(9)=28120.559084+(6199.656760i);    // Vec_kaLpi=0.075996
tabk(10)=29392.627483+(6258.465107i);    // Vec_kaLpi=0.079614
tabk(11)=30724.901470+(6319.807661i);    // Vec_kaLpi=0.083405
tabk(12)=32120.084780+(6383.840273i);    // Vec_kaLpi=0.087376
tabk(13)=33580.997167+(6450.698046i);    // Vec_kaLpi=0.091537
tabk(14)=35110.599738+(6520.520000i);    // Vec_kaLpi=0.095896
tabk(15)=36712.003138+(6593.450961i);    // Vec_kaLpi=0.100462
tabk(16)=38388.459014+(6669.622500i);    // Vec_kaLpi=0.105245
tabk(17)=40143.385735+(6749.175223i);    // Vec_kaLpi=0.110257
tabk(18)=41980.358018+(6832.237540i);    // Vec_kaLpi=0.115506
tabk(19)=43903.143662+(6918.960390i);    // Vec_kaLpi=0.121006
tabk(20)=45915.678966+(7009.476431i);    // Vec_kaLpi=0.126768
tabk(21)=48022.096573+(7103.924003i);    // Vec_kaLpi=0.132804
tabk(22)=50226.735601+(7202.447733i);    // Vec_kaLpi=0.139128
tabk(23)=52534.147804+(7305.190244i);    // Vec_kaLpi=0.145753
tabk(24)=54949.108578+(7412.298927i);    // Vec_kaLpi=0.152693
tabk(25)=57476.643427+(7523.930559i);    // Vec_kaLpi=0.159963
tabk(26)=60122.005266+(7640.221189i);    // Vec_kaLpi=0.167580
tabk(27)=62890.737806+(7761.338423i);    // Vec_kaLpi=0.175560
tabk(28)=65788.672039+(7887.452243i);    // Vec_kaLpi=0.183919
tabk(29)=68821.902852+(8018.714094i);    // Vec_kaLpi=0.192676
tabk(30)=71996.889089+(8155.320648i);    // Vec_kaLpi=0.201851
tabk(31)=75320.402516+(8297.460006i);    // Vec_kaLpi=0.211462
tabk(32)=78799.587400+(8445.345917i);    // Vec_kaLpi=0.221531
tabk(33)=82441.970818+(8599.208532i);    // Vec_kaLpi=0.232079
tabk(34)=86255.497935+(8759.320101i);    // Vec_kaLpi=0.243130
tabk(35)=90248.555234+(8925.987396i);    // Vec_kaLpi=0.254707
tabk(36)=94429.985720+(9099.560706i);    // Vec_kaLpi=0.266835
tabk(37)=98809.171150+(9280.479043i);    // Vec_kaLpi=0.279541
tabk(38)=103395.990020+(9469.226530i);    // Vec_kaLpi=0.292851
tabk(39)=108200.948490+(9666.402679i);    // Vec_kaLpi=0.306795
tabk(40)=113235.191000+(9872.730473i);    // Vec_kaLpi=0.321404
tabk(41)=118510.551320+(10089.081438i);    // Vec_kaLpi=0.336708
tabk(42)=124039.629150+(10316.505006i);    // Vec_kaLpi=0.352740
tabk(43)=129835.882770+(10556.302882i);    // Vec_kaLpi=0.369536
tabk(44)=135913.747940+(10810.068611i);    // Vec_kaLpi=0.387132
tabk(45)=142288.757600+(11079.804310i);    // Vec_kaLpi=0.405565
tabk(46)=148977.697830+(11368.014188i);    // Vec_kaLpi=0.424877
tabk(47)=155998.924110+(11677.921192i);    // Vec_kaLpi=0.445108
tabk(48)=163372.546590+(12013.692698i);    // Vec_kaLpi=0.466302
tabk(49)=171120.950890+(12380.853744i);    // Vec_kaLpi=0.488505
tabk(50)=179269.390090+(12786.911607i);    // Vec_kaLpi=0.511766
tabk(51)=187846.860020+(13242.352383i);    // Vec_kaLpi=0.536134
tabk(52)=196887.398290+(13762.318010i);    // Vec_kaLpi=0.561662
tabk(53)=206432.070240+(14369.593304i);    // Vec_kaLpi=0.588406
tabk(54)=216531.809810+(15100.080792i);    // Vec_kaLpi=0.616423
tabk(55)=227252.010460+(16014.102001i);    // Vec_kaLpi=0.645775
tabk(56)=238677.366980+(17220.432690i);    // Vec_kaLpi=0.676524
tabk(57)=250910.847890+(18933.846178i);    // Vec_kaLpi=0.708737
tabk(58)=264015.045860+(21616.835598i);    // Vec_kaLpi=0.742484
tabk(59)=277609.090260+(26230.754054i);    // Vec_kaLpi=0.777838
tabk(60)=289584.345580+(33493.022267i);    // Vec_kaLpi=0.814875
tabk(61)=297635.974840+(40883.327318i);    // Vec_kaLpi=0.853676
tabk(62)=302983.871500+(45485.296643i);    // Vec_kaLpi=0.894325
tabk(63)=307379.167390+(46309.866076i);    // Vec_kaLpi=0.936909
tabk(64)=312031.886780+(43019.942756i);    // Vec_kaLpi=0.981520
tabk(65)=319023.292370+(33594.311645i);    // Vec_kaLpi=1.028256
tabk(66)=337275.896170+(18828.742460i);    // Vec_kaLpi=1.077217
tabk(67)=362847.734870+(14988.287193i);    // Vec_kaLpi=1.128510
tabk(68)=385545.586710+(14942.308539i);    // Vec_kaLpi=1.182245
tabk(69)=407468.490680+(15541.754309i);    // Vec_kaLpi=1.238538
tabk(70)=429551.775380+(16371.890192i);    // Vec_kaLpi=1.297512
tabk(71)=452250.347870+(17348.486459i);    // Vec_kaLpi=1.359294
tabk(72)=475852.120040+(18475.080284i);    // Vec_kaLpi=1.424018
tabk(73)=500598.638340+(19794.532113i);    // Vec_kaLpi=1.491824
tabk(74)=526752.896260+(21393.322351i);    // Vec_kaLpi=1.562858
tabk(75)=554694.131760+(23449.578514i);    // Vec_kaLpi=1.637275
tabk(76)=585075.050420+(26233.476364i);    // Vec_kaLpi=1.715235
tabk(77)=618436.628920+(32845.966410i);    // Vec_kaLpi=1.796907
tabk(78)=650365.888550+(42811.012795i);    // Vec_kaLpi=1.882468
tabk(79)=686439.836070+(59072.004746i);    // Vec_kaLpi=1.972103
tabk(80)=699663.144070+(95506.771662i);    // Vec_kaLpi=2.066006
tabk(81)=694736.558060+(77493.161327i);    // Vec_kaLpi=2.164381
tabk(82)=742658.320140+(59464.068480i);    // Vec_kaLpi=2.267439
tabk(83)=792930.894810+(86407.926791i);    // Vec_kaLpi=2.375405
tabk(84)=794790.676230+(112644.402710i);    // Vec_kaLpi=2.488512
tabk(85)=792159.511590+(98484.368065i);    // Vec_kaLpi=2.607004
tabk(86)=822246.865390+(55130.297591i);    // Vec_kaLpi=2.731139
tabk(87)=892451.307120+(39177.782433i);    // Vec_kaLpi=2.861184
tabk(88)=940635.078880+(51790.122901i);    // Vec_kaLpi=2.997421
